FECHA,PRECIP,EVAP,TMAX,TMIN
10/6/65,40,10.8,29,24
11/6/65,0,10.7,27,20
12/6/65,0,5.1,28,24
13/06/1965,0,4.9,28,25
14/06/1965,0,5.4,27,25
15/06/1965,0,10.9,28,24
16/06/1965,5,5.3,27,23
17/06/1965,0,8.3,27.5,25
18/06/1965,0,7.5,28,24
19/06/1965,0,7.7,27,23
20/06/1965,0,9.8,28,25
21/06/1965,6,9.9,28.5,23
22/06/1965,2,3.1,27,25
23/06/1965,0,7,26,23
24/06/1965,0,3.2,27,23
25/06/1965,4,3.9,28,24
26/06/1965,5,11.5,27,23
27/06/1965,0,NA,NA,24
28/06/1965,0,NA,NA,NA
29/06/1965,0,NA,NA,NA
30/06/1965,0,NA,NA,NA
1/7/65,8,2.4,26,24
2/7/65,0,4.4,27,20
3/7/65,0,9.1,26,23
4/7/65,2,8.5,28,24
5/7/65,0,9.1,28,23
6/7/65,0,9.7,25,23
7/7/65,0,6.1,26,23
8/7/65,0,9.2,25,24
9/7/65,0,4.7,26,24
10/7/65,0,2.9,28,24
11/7/65,0,7.9,30,25
12/7/65,2,6.1,29,23
13/07/1965,0,8.3,31,20
14/07/1965,0,9.4,29,21
15/07/1965,0,7.8,29,24
16/07/1965,0,9.2,31,25
17/07/1965,0,5.5,31,23
18/07/1965,0,9.8,26,23
19/07/1965,0,1.7,28,24
20/07/1965,0,2.7,31,24
21/07/1965,2,3.7,29,23
22/07/1965,0,7.9,31,26
23/07/1965,0,8,30,27
24/07/1965,2,6.7,29,21
25/07/1965,0,7.5,35,25
26/07/1965,0,7.9,29,21
27/07/1965,0,5.1,30,23
28/07/1965,0,9.4,28,21
29/07/1965,0,8.1,27,21
30/07/1965,0,2.2,28,22
31/07/1965,0,2.8,29,23
1/8/65,0,5.2,30,24
2/8/65,0,6.8,27,25
3/8/65,2,7.3,26,24
4/8/65,0,7.6,27,23
5/8/65,0,7.3,29,24
6/8/65,0,7,27,26
7/8/65,4,3.1,29,23
8/8/65,2,3.2,30,23
9/8/65,0,5.1,29.5,24.5
10/8/65,0,6.2,30,21.5
11/8/65,0,8.3,30,26
12/8/65,0,8.6,28,23
13/08/1965,0,7.6,26.5,23
14/08/1965,0,5.9,29,24
15/08/1965,0,6.4,30,26
16/08/1965,1,5.5,30,22
17/08/1965,0,6.7,29,22
18/08/1965,0,6.1,30,26
19/08/1965,0,6.6,28.5,22
20/08/1965,0,8.6,29,23
21/08/1965,0,6.9,28,23
22/08/1965,3,6.7,27,24
23/08/1965,0,7.4,30,23
24/08/1965,0,6,28,22
25/08/1965,0,5.8,28,23
26/08/1965,95,2.1,28,24
27/08/1965,2,3.8,29,20
28/08/1965,0,4.6,30,22
29/08/1965,10,5.9,29,22
30/08/1965,2,6.5,29,22
31/08/1965,0,2.9,30,23
1/9/65,0,5.2,30,22
2/9/65,0,7.2,32,22
3/9/65,21,3.6,31,21.5
4/9/65,20,5.5,30,21
5/9/65,0,8,31,20
6/9/65,0,3.3,32,22
7/9/65,0,4.9,30,20
8/9/65,0,3.9,29,20
9/9/65,5,1.4,29.5,22
10/9/65,0,8.1,29,24
11/9/65,1,6.4,30,22
12/9/65,0,9.7,29,23
13/09/1965,0,8.1,29,23
14/09/1965,0,6,28,21
15/09/1965,15,1.3,30,22
16/09/1965,5,3,28,21
17/09/1965,15,2,27,22
18/09/1965,10,4,29,23
19/09/1965,5,3.2,28,24
20/09/1965,22,3.4,27,22
21/09/1965,20,2.8,26,22
22/09/1965,40,2.5,28,22
23/09/1965,25,3.1,28,24
24/09/1965,20,2,28,24
25/09/1965,25,3.6,28,21
26/09/1965,20,1.6,29,23
27/09/1965,0,7.7,30,24
28/09/1965,0,4.8,29,22.5
29/09/1965,0,4.7,28,24
30/09/1965,0,3.3,28,24
1/10/65,3,8.5,29.5,26
2/10/65,0,7.3,29,25
3/10/65,19,4,28,24
4/10/65,0,7.6,30,27
5/10/65,0,7.4,29,26
6/10/65,0,6.2,30,27
7/10/65,0,7.4,29,27
8/10/65,0,7.6,29.5,27
9/10/65,0,4,29,26
10/10/65,0,3.8,29,26
11/10/65,0,3.8,29,27
12/10/65,2,4.1,29,27
13/10/1965,1,3.2,27,24
14/10/1965,0,1.6,28,26
15/10/1965,0,1,29,26
16/10/1965,0,1.7,29,25
17/10/1965,30,3.3,29.5,27
18/10/1965,15,7.3,29,25
19/10/1965,1,4.9,29,24
20/10/1965,50,4.9,29,24
21/10/1965,2,1.5,27,24
22/10/1965,1,2.1,29,24
23/10/1965,0,6.5,29,22
24/10/1965,0,1.6,23,22
25/10/1965,0,4.2,28,20
26/10/1965,0,5.4,29,19
27/10/1965,0,3.9,28,22
28/10/1965,0,5.1,28,22
29/10/1965,0,9.2,28,20
30/10/1965,0,3.1,28,23
31/10/1965,0,3.2,26,24
1/11/65,0,4.2,29,24
2/11/65,3,5.2,27,21
3/11/65,0,6.1,26,23
4/11/65,0,9,27,22
5/11/65,0,8.4,28,21
6/11/65,0,4,27,20
7/11/65,1,4.7,26,19
8/11/65,0,6.1,27,20
9/11/65,0,5.2,26,19
10/11/65,0,3.4,28,20
11/11/65,0,2.9,26,19
12/11/65,0,3.8,27,21
13/11/1965,0,4.1,29,20
14/11/1965,0,3.2,28,24
15/11/1965,0,3.3,28,23
16/11/1965,0,2.3,29,18
17/11/1965,0,5.6,27,22
18/11/1965,0,4.8,28,23
19/11/1965,0,5.1,28,24
20/11/1965,0,1.7,28,18
21/11/1965,0,5,27,17
22/11/1965,0,5.4,28,23
23/11/1965,0,5.5,26,24
24/11/1965,0,3.8,30,17
25/11/1965,0,5,26,19
26/11/1965,0,6.7,27,17
27/11/1965,0,2,28,23
28/11/1965,0,5,27,24
29/11/1965,0,7.1,28,21
